Year,US_Private_Millions,China_Private_Millions,Global_Private_Total,US_Share_Percent,China_Share_Percent,Key_Investments,Sources
2014,45,8,125,36,6.4,Early VC interest,McKinsey/CSIS
2015,78,12,215,36.3,5.6,Growing startup ecosystem,McKinsey/CSIS
2016,125,18,345,36.2,5.2,First major funding rounds,McKinsey/CSIS
2017,185,28,485,38.1,5.8,IBM quantum network launch,McKinsey/CSIS
2018,295,42,695,42.4,6.0,Google quantum supremacy funding,McKinsey/CSIS
2019,420,65,985,42.6,6.6,Major VC rounds increase,McKinsey/CSIS
2020,585,89,1385,42.2,6.4,COVID impact minimal,McKinsey/CSIS
2021,785,125,1885,41.6,6.6,Record funding year,McKinsey/CSIS
2022,1200,165,2685,44.7,6.1,Peak private investment,McKinsey/CSIS
2023,1650,245,3485,47.3,7.0,Continued strong growth,McKinsey/CSIS
2024,3300,482,7500,44.0,6.4,Final cumulative totals,McKinsey/CSIS
