Year,Total_Patents,Quantum_Computing,Quantum_Communications,Quantum_Sensing,Source,Notes
2014,28,12,12,4,CNIPA/WIPO,Early development phase
2015,42,18,18,6,CNIPA/WIPO,Government investment begins
2016,67,25,30,12,CNIPA/WIPO,Communications focus emerges
2017,134,45,65,24,CNIPA/WIPO,Rapid acceleration
2018,245,85,125,35,CNIPA/WIPO,Major government push
2019,398,135,205,58,CNIPA/WIPO,Sustained high growth
2020,567,185,295,87,CNIPA/WIPO,COVID resilience
2021,892,285,465,142,CNIPA/WIPO,Exceptional growth year
2022,1204,385,625,194,CNIPA/WIPO,Market leadership established
2023,1456,465,755,236,CNIPA/WIPO,Continued dominance
2024,945,300,485,160,CNIPA/WIPO,Publication delay affects numbers
