Year,Total_Patents,Quantum_Computing,Quantum_Communications,Quantum_Sensing,Source,Notes
2014,37,25,8,4,USPTO/PatentsView,Starting point for major growth
2015,45,32,9,4,USPTO/PatentsView,Steady increase
2016,58,42,11,5,USPTO/PatentsView,Growing interest
2017,89,65,15,9,USPTO/PatentsView,Acceleration begins
2018,147,108,25,14,USPTO/PatentsView,Significant jump
2019,198,146,32,20,USPTO/PatentsView,Sustained growth
2020,267,195,42,30,USPTO/PatentsView,COVID impact minimal
2021,435,320,70,45,USPTO/PatentsView,Major acceleration
2022,580,425,95,60,USPTO/PatentsView,Continued strong growth
2023,720,530,115,75,USPTO/PatentsView,Growth continues but slowing
2024,450,330,75,45,USPTO/PatentsView,Publication delay affects numbers
